id	CK_1	CK_2	CK_3	Cra20_1	Cra20_2	Cra20_3	KT2440_1	KT2440_2	KT2440_3
LOC101248427	0.970074855	0.158552579	0.496947822	0.411624908	0.466752783	0.551596539	0.69093496	1.055034441	0.466797199
LOC101248428	1.639431047	1.8694507	1.911058593	1.235400291	2.127964395	2.670863497	2.063812375	1.724961554	1.797934099
LOC101248429	54.7782592	51.78825066	56.69838916	56.39593293	57.80256193	53.73453931	56.31028219	57.36738772	57.36224193
LOC101248430	24.81079443	22.24920446	21.83341882	20.42093736	20.42822866	21.06351096	21.82945856	22.25075887	20.90900479
LOC101248431	2.511186681	1.200529765	1.751517406	2.499208095	1.751978086	3.027130511	2.235738124	2.785739876	2.235495097
LOC101248432	0.036213885	0	0	0	0	0	0.034391077	0	0.104556096
LOC101248433	0.203014419	0.483500668	0.191999597	0.174524803	0.516312021	0.184698408	0.30296481	0.252336585	0.139557069
LOC101248434	44.68887786	53.36687189	49.96079499	42.78132501	46.98798802	42.42753273	42.37228089	46.20917003	46.07304174
LOC101248435	0	0.014031719	0	0	0	0.013017508	0.01358821	0	0
LOC101248436	51.84935396	47.91944914	51.96778276	57.08942868	52.46338947	55.30540885	53.11001824	51.60504606	54.88532502
LOC101248437	0	0	0	0	0	0	0	0	0
LOC101248438	29.33297068	25.97610398	23.2343552	22.43646025	26.05860628	22.18276861	26.27774054	26.00371778	22.54123949
LOC101248439	2.198860149	3.13649225	1.937769974	2.452086334	2.164059063	1.636755092	1.566136203	2.217514585	1.87569633
LOC101248440	16.26922529	23.70720182	20.55147391	20.27709107	16.28068465	17.80686277	14.56174698	15.84991837	17.8626765
LOC101248441	1.686581327	1.811486667	2.620478022	1.710136531	1.854858987	1.936288806	2.173719543	3.214379883	2.280147798
LOC101248442	159.4152488	163.9993786	166.4288184	170.9700647	132.1710833	190.9920752	146.7782551	141.4385261	147.5880214
LOC101248443	7.080599204	11.85765873	12.36264319	6.756883223	11.79290613	9.7122309	9.801815665	11.61031815	11.26984931
LOC101248444	0.036408165	0	0.034432791	0.235945549	0.245249707	0.033123412	0.103726734	0.253419575	0.315351058
LOC101248445	16.48637761	15.58842619	15.05664304	14.6707144	15.13083733	17.1704656	14.69845687	14.70816706	14.27975453
LOC101248446	93.69615503	157.9029631	150.4591892	83.68146692	156.8403326	111.0671108	139.8711608	201.9100529	113.4208966
LOC101248447	0.53628809	1.051834618	1.567681442	0.722171599	1.454383117	1.463712138	1.250085989	1.781583303	1.829881908
LOC101248448	0.841879229	0.366932846	1.105836019	2.165021677	0.720126737	0.893578791	1.021587999	1.098733663	1.305353918
LOC101248449	0.239466549	0.093934291	0.407653143	0.399054595	0.184351428	0.479296	0.363860989	0.458372879	0.092184486
LOC101248450	14.79610903	16.92831085	15.85910296	14.10911271	17.03854009	14.49322579	16.06538157	16.52107772	15.09407062
